iter	RMSE
0	14.28631384
1	13.63929734
2	13.08402927
3	12.50682021
4	11.97512185
5	11.54583919
6	11.09149068
7	10.69808055
8	10.33501887
9	9.962643885
10	9.609785255
11	9.29436663
12	9.02744803
13	8.762717888
14	8.506454805
15	8.247071631
16	8.020445514
17	7.837958015
18	7.643628476
19	7.463136428
20	7.301217713
21	7.159282169
22	7.015956068
23	6.876913397
24	6.758552572
25	6.660674005
26	6.557107253
27	6.467083517
28	6.381140239
29	6.296664866
30	6.234669286
31	6.157097547
32	6.095224345
33	6.033236604
34	5.964199357
35	5.906787249
36	5.859570559
37	5.819332665
38	5.775440284
39	5.73473597
40	5.701969234
41	5.670094465
42	5.639528955
43	5.611985097
44	5.582505806
45	5.556274446
46	5.530585658
47	5.506662687
48	5.479515571
49	5.45236058
50	5.430616944
51	5.41536471
52	5.399937265
53	5.375427727
54	5.35324152
55	5.337828497
56	5.320635937
57	5.308477301
58	5.295242894
59	5.283263432
60	5.269957334
61	5.259031535
62	5.245446258
63	5.22882904
64	5.221765662
65	5.211097677
66	5.203557008
67	5.191071363
68	5.184135733
69	5.171881357
70	5.157539149
71	5.151889151
72	5.139580463
73	5.132081857
74	5.12060375
75	5.109760165
76	5.104082991
77	5.098703597
78	5.090488679
79	5.080249844
80	5.073563067
81	5.066265432
82	5.055278717
83	5.050079933
84	5.042313636
85	5.036143586
86	5.028263395
87	5.022336467
88	5.014291955
89	5.00437425
90	4.991483368
91	4.986759737
92	4.978849214
93	4.967805937
94	4.963675119
95	4.953580544
96	4.947534621
97	4.942865948
98	4.932612477
99	4.922862425
100	4.917815009
101	4.911814485
102	4.902322461
103	4.895797386
104	4.890895566
105	4.87957625
106	4.869092035
107	4.867285229
108	4.86041968
109	4.850768918
110	4.847601461
111	4.839808658
112	4.830336235
113	4.828340071
114	4.823275558
115	4.820927028
116	4.815426283
117	4.80888759
118	4.802595278
119	4.7945686
120	4.787373805
121	4.787114951
122	4.781961282
123	4.773722465
124	4.767698017
125	4.763914531
126	4.759345544
127	4.753309944
128	4.748101795
129	4.747278576
130	4.743704947
131	4.735094203
132	4.727164074
133	4.720031199
134	4.714605049
135	4.704937059
136	4.698814337
137	4.695219854
138	4.692499274
139	4.689266596
140	4.68457829
141	4.683380504
142	4.671730136
143	4.668664759
144	4.667234466
145	4.660577023
146	4.659106416
147	4.648938562
148	4.644342873
149	4.641999643
150	4.632364071
151	4.629829158
152	4.629117471
153	4.623406092
154	4.615651636
155	4.614552989
156	4.606473606
157	4.59965771
158	4.590589511
159	4.589144278
160	4.581558251
161	4.575330458
162	4.574636125
163	4.570475713
164	4.561340317
165	4.554688003
166	4.550637828
167	4.546474369
168	4.538466981
169	4.531531214
170	4.524110061
171	4.521776708
172	4.517685947
173	4.502730976
174	4.492137336
175	4.484941348
176	4.482363621
177	4.470630132
178	4.469012596
179	4.4660216
180	4.465501754
181	4.452745219
182	4.44649031
183	4.442274444
184	4.437712996
185	4.432326386
186	4.42552983
187	4.422697211
188	4.415455048
189	4.410770499
190	4.406709969
191	4.40282727
192	4.391538913
193	4.388166693
194	4.386948247
195	4.37317254
196	4.369936869
197	4.36621543
198	4.359826806
199	4.348154463
200	4.340371747
201	4.333848918
202	4.329296309
203	4.321558856
204	4.318223931
205	4.308160533
206	4.299479179
207	4.293085987
208	4.290410802
209	4.286680555
210	4.285557351
211	4.285024949
212	4.282460444
213	4.273261956
214	4.267032867
215	4.257400694
216	4.247104483
217	4.237980385
218	4.235864347
219	4.231445571
220	4.230593349
221	4.22517647
222	4.216958289
223	4.212781958
224	4.206173878
225	4.202732446
226	4.200376855
227	4.19957469
228	4.193116321
229	4.190016048
230	4.185647453
